id,name,species_id,life_span,temperament,origin,country_codes,country_code,description,bred_for,perfect_for,breed_group,history,reference_image_id,weight,height,image,weight_metric_raw,weight_min,weight_max,weight_mean,height_metric_raw,height_min,height_max,height_mean,life_min,life_max,life_mean,size_cat,temperament_list
87,American Cocker Spaniel,2,10-14,"Gentle, smart, happy, outgoing, affectionate",United States,US,US,"The smallest member of the Sporting Group, the American Cocker Spaniel is a medium-sized sporting dog with a beautifully chiseled head, long flowing silky coat, long ears, and gentle expression",,,Sporting,"Developed in the United States from English Cocker Spaniels brought over in the late 1800s. American breeders selected for smaller size, more refined head, and heavier coat for woodcock hunting, leading to recognition as a separate breed by the AKC in 1946",IKwhmJWCwN,"{'imperial': 'Male: 25-30; Female: 20-25', 'metric': 'Male: 11-14; Female: 9-11'}","{'imperial': 'Male: 14.5-15.5; Female: 13.5-14.5', 'metric': 'Male: 37-39; Female: 34-37'}","{'id': 'IKwhmJWCwN', 'url': 'https://cdn4.thedogapi.com/optimized/IKwhmJWCwN.jpg', 'width': 1200, 'height': 880}",Male: 11-14; Female: 9-11,9.0,14.0,11.25,Male: 37-39; Female: 34-37,34.0,39.0,36.75,10.0,14.0,12.0,small,"['Gentle', 'smart', 'happy', 'outgoing', 'affectionate']"
12,American Eskimo Dog,2,,"Intelligent, alert, friendly, playful, energetic, eager to please",United States,US,US,"Compact spitz-type companion dog with distinctive dense white double coat, black points on lips, nose, and eye rims, wedge-shaped head, and plumed tail carried over the back. Available in three sizes (toy, miniature, standard) with an alert expression and striking appearance.",,,Non-Sporting,"Descended from white German Spitz dogs brought to America by German immigrants. Name changed from German Spitz to American Eskimo Dog during World War I due to anti-German sentiment. Became popular circus performers in the 19th and early 20th centuries, recognized by AKC in 1994",ZRRZu8rDfz,"{'imperial': '6-35', 'metric': '3-16'}","{'imperial': '9-19', 'metric': '23-48'}","{'id': 'ZRRZu8rDfz', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/4b94b0a4-85bc-4861-a37e-dac76def6390.jpeg', 'width': 1120, 'height': 944}",3-16,3.0,16.0,9.5,23-48,23.0,48.0,35.5,,,,small,"['Intelligent', 'alert', 'friendly', 'playful', 'energetic', 'eager to please']"
14,American Foxhound,2,11-13,"Independent, friendly, gentle, energetic, intelligent",United States,US,US,"A sleek, powerful scenthound with a long, fine-boned body and athletic build, known for incredible stamina, speed, and melodious baying voice. One of the oldest American-bred dogs, developed for endurance and pack hunting.",,,Hound,"Developed from English Foxhounds imported to Colonial America in the 1650s, refined for American terrain and fox hunting. George Washington was a key figure in the breed's development, breeding them to be lighter, taller, and faster for hunting American red fox over varied terrain.",lFtSkSlrzB,"{'imperial': 'Male: 65-70; Female: 60-65', 'metric': 'Male: 29-32; Female: 27-29'}","{'imperial': 'Male: 22-25; Female: 21-24', 'metric': 'Male: 56-64; Female: 53-61'}","{'id': 'lFtSkSlrzB', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/73e69c96-34f1-4a31-a96d-c9c042ea975e.jpeg', 'width': 1120, 'height': 960}",Male: 29-32; Female: 27-29,27.0,32.0,29.25,Male: 56-64; Female: 53-61,53.0,64.0,58.5,11.0,13.0,12.0,large,"['Independent', 'friendly', 'gentle', 'energetic', 'intelligent']"
15,American Pit Bull Terrier,2,12-16,"Confident, intelligent, loyal, affectionate, eager to please, energetic",United States,US,US,"Medium-sized, muscular terrier with athletic build and short coat, known for its strength, confidence, intelligence, and affectionate nature towards people. Possesses great strength for its size and is both athletic and agile.",,,Terrier,Developed in the late 19th century from English bull-and-terrier breeds brought to America. Originally bred for bull-baiting and later refined as all-around farm dogs and loyal family companions. First recognized by the United Kennel Club in 1898.,oFvaQYx899,"{'imperial': 'Male: 35-60; Female: 30-50', 'metric': 'Male: 16-27; Female: 14-23'}","{'imperial': 'Male: 18-21; Female: 17-20', 'metric': 'Male: 46-53; Female: 43-51'}","{'id': 'oFvaQYx899', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/a728c8bc-2a50-4d54-a903-91e5ab416294.jpeg', 'width': 1312, 'height': 816}",Male: 16-27; Female: 14-23,14.0,27.0,20.0,Male: 46-53; Female: 43-51,43.0,53.0,48.25,12.0,16.0,14.0,medium,"['Confident', 'intelligent', 'loyal', 'affectionate', 'eager to please', 'energetic']"
16,American Staffordshire Terrier,2,12-16,"Confident, courageous, loyal, intelligent, smart",United States,US,US,"A muscular, stocky, but agile medium-sized terrier of remarkable strength with a broad head, strong build, smooth coat and confident, good-natured personality",,,Terrier,"Developed in the 19th century from crosses of bulldogs and terriers brought to America in the 1800s. Originally bred for bull-baiting and pit fighting, later refined to be larger than English Staffordshire Bull Terriers and developed into all-purpose farm dogs and family companions. Recognized by the AKC in 1936.",1AXCw6rj56,"{'imperial': 'Male: 55-70; Female: 40-55', 'metric': 'Male: 25-32; Female: 18-25'}","{'imperial': 'Male: 18-19; Female: 17-18', 'metric': 'Male: 46-48; Female: 43-46'}","{'id': '1AXCw6rj56', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/fae232c8-6b6a-4b93-9f8a-09d0339b2a48.jpeg', 'width': 1008, 'height': 1056}",Male: 25-32; Female: 18-25,18.0,32.0,25.0,Male: 46-48; Female: 43-46,43.0,48.0,45.75,12.0,16.0,14.0,medium,"['Confident', 'courageous', 'loyal', 'intelligent', 'smart']"
17,American Water Spaniel,2,10-14,"Eager to please, intelligent, energetic, alert, happy","Wisconsin, United States",US,US,"Medium-sized versatile sporting dog with distinctive curly or wavy chocolate or liver coat, bred for hunting waterfowl in the icy waters and marshy banks of the Great Lakes region",,,Sporting,"Developed in the 19th century in the Fox and Wolf River valleys of Wisconsin as a compact, versatile hunter that could work from a skiff or boat. Ancestry likely includes Irish Water Spaniel and Curly-Coated Retriever. Named the state dog of Wisconsin in 1985 and foundation breed for the Boykin Spaniel, recognized by AKC in 1940.",NCxW2X6eTX,"{'imperial': 'Male: 30-45; Female: 25-40', 'metric': 'Male: 14-20; Female: 11-18'}","{'imperial': '15-18', 'metric': '38-46'}","{'id': 'NCxW2X6eTX', 'url': 'https://cdn4.thedogapi.com/optimized/NCxW2X6eTX.jpg', 'width': 1136, 'height': 944}",Male: 14-20; Female: 11-18,11.0,20.0,15.75,38-46,38.0,46.0,42.0,10.0,14.0,12.0,medium,"['Eager to please', 'intelligent', 'energetic', 'alert', 'happy']"
19,Appenzeller Sennenhund,2,12-15,"Energetic, intelligent, confident, loyal, alert, work-focused","Appenzell region, Switzerland",CH,CH,"Medium-sized, muscular and agile Swiss mountain dog with distinctive tricolor coat and tightly curled tail carried over the back. Known for their lively, self-assured expression and work-focused temperament, this ancient breed combines herding instincts with guarding abilities.",,,Working,"One of the four Swiss Sennenhund breeds, this ancient breed from the Appenzell region was used for centuries as an all-purpose farm dog for herding cattle, guarding property, and pulling carts. Formally established in the late 19th century through the efforts of forester Max Siber and Professor Albert Heim.",lIYQQfaDwr,"{'imperial': 'Male: 48-70; Female: 44-62', 'metric': 'Male: 22-32; Female: 20-28'}","{'imperial': 'Male: 20-22; Female: 19-21', 'metric': 'Male: 51-56; Female: 48-54'}","{'id': 'lIYQQfaDwr', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/2d8c642c-6f86-4275-bbba-a7f0a1c088f5.jpeg', 'width': 864, 'height': 1216}",Male: 22-32; Female: 20-28,20.0,32.0,25.5,Male: 51-56; Female: 48-54,48.0,56.0,52.25,12.0,15.0,13.5,medium,"['Energetic', 'intelligent', 'confident', 'loyal', 'alert', 'work-focused']"
21,Australian Cattle Dog,2,12-16,"Intelligent, alert, loyal, energetic, courageous",Australia,AU,AU,"Compact, muscular working dog with distinctive coat markings and exceptional endurance for cattle herding; known as the Heeler",,,Herding,"Developed in 19th century Australia by crossing British herding dogs including blue merle Collies with native Dingo, with later infusions of Dalmatian and Black and Tan Kelpie to create a hardy cattle herding dog for harsh Australian conditions",DXISbW3gjf,"{'imperial': '35-50', 'metric': '16-23'}","{'imperial': 'Male: 18-20; Female: 17-19', 'metric': 'Male: 46-51; Female: 43-48'}","{'id': 'DXISbW3gjf', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/da91e705-2ef9-4e75-8b19-691d8f99935e.jpeg', 'width': 1152, 'height': 928}",16-23,16.0,23.0,19.5,Male: 46-51; Female: 43-48,43.0,51.0,47.0,12.0,16.0,14.0,medium,"['Intelligent', 'alert', 'loyal', 'energetic', 'courageous']"
22,Australian Kelpie,2,12-16,"Intelligent, energetic, loyal, work-focused, alert",Australia,AU,AU,"Medium-sized athletic herding dog with exceptional energy and intelligence, developed for working sheep over vast distances in harsh Australian conditions. Known for their lithe, agile build and inexhaustible work ethic.",,,Herding,Developed in Australia during the late 19th century from crosses of imported Scottish Collies with Dingoes and other working dogs to create the ultimate sheep herding dog capable of working independently over vast distances in harsh climates,2pZrCf0DNu,"{'imperial': 'Male: 31-46; Female: 26-40', 'metric': 'Male: 14-21; Female: 12-18'}","{'imperial': 'Male: 17-20; Female: 16-19', 'metric': 'Male: 43-51; Female: 41-48'}","{'id': '2pZrCf0DNu', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/e4eea683-60f7-4095-9dc1-d35458f1d9ac.jpeg', 'width': 1216, 'height': 880}",Male: 14-21; Female: 12-18,12.0,21.0,16.25,Male: 43-51; Female: 41-48,41.0,51.0,45.75,12.0,16.0,14.0,medium,"['Intelligent', 'energetic', 'loyal', 'work-focused', 'alert']"
23,Australian Shepherd,2,12-15,"Intelligent, energetic, work-focused, loyal, devoted, athletic",Western United States,US,US,"Medium-sized, agile herding dog with striking multicolored coat, expressive eyes, and keen herding instincts. Known for their intense work drive and weather-resistant double coat.",,,Herding,"Despite its name, the Australian Shepherd was developed in the American West in the 19th century from Basque shepherd dogs brought by immigrants from the Pyrenees region. The breed's intelligence and versatility made it popular on the rodeo circuit and for ranching work.",G0k1fak65p,"{'imperial': 'Male: 50-65; Female: 40-55', 'metric': 'Male: 23-29; Female: 18-25'}","{'imperial': 'Male: 20-23; Female: 18-21', 'metric': 'Male: 51-58; Female: 46-53'}","{'id': 'G0k1fak65p', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/941d27a3-a346-4b56-bfed-a76d4ec745cd.jpeg', 'width': 1264, 'height': 848}",Male: 23-29; Female: 18-25,18.0,29.0,23.75,Male: 51-58; Female: 46-53,46.0,58.0,52.0,12.0,15.0,13.5,medium,"['Intelligent', 'energetic', 'work-focused', 'loyal', 'devoted', 'athletic']"
228,Australian Silky Terrier,2,,"Friendly, intelligent, alert, energetic, confident",Australia,AU,AU,"A small, spirited toy terrier with a refined but substantial build, characterized by its long, straight, glossy blue-and-tan silky coat that is parted down the middle and lively, alert demeanor",,,Toy,"Developed in Australia in the late 19th century by crossing Yorkshire Terriers with Australian Terriers to create a small companion dog with a long, silky coat, combining hardiness with refined features and vermin hunting ability",LX867UmLze,"{'imperial': '8-10', 'metric': '3.5-5'}","{'imperial': '9-10', 'metric': '23-25'}","{'id': 'LX867UmLze', 'url': 'https://cdn4.thedogapi.com/optimized/LX867UmLze.jpg', 'width': 1104, 'height': 976}",3.5-5,3.5,5.0,4.25,23-25,23.0,25.0,24.0,,,,small,"['Friendly', 'intelligent', 'alert', 'energetic', 'confident']"
24,Australian Terrier,2,11-15,"Courageous, alert, friendly, loyal, intelligent",Australia,AU,AU,"Small, sturdy terrier with harsh double coat and distinctive topknot, known for its spirited, alert expression and courageous personality",,,Terrier,"Developed in Australia during the 19th century from British terrier breeds including Cairn, Skye, and Yorkshire Terriers. Bred as all-purpose exterminators of rodents and snakes, as well as loyal watchdogs and companions. Recognized by AKC in 1960.",WjazcxuOMh,"{'imperial': '15-20', 'metric': '7-9'}","{'imperial': '10-11', 'metric': '25-28'}","{'id': 'WjazcxuOMh', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/f264d025-4b87-4be4-bf4d-8c7fbb327773.jpeg', 'width': 1120, 'height': 944}",7-9,7.0,9.0,8.0,25-28,25.0,28.0,26.5,11.0,15.0,13.0,small,"['Courageous', 'alert', 'friendly', 'loyal', 'intelligent']"
25,Azawakh,2,12-15,"Independent, loyal, alert, protective, affectionate, aloof","West Africa (Sahel region: Mali, Niger, Burkina Faso)",ML,ML,"Elegant, tall sighthound from West Africa with a lean, muscular build, fine coat, and long legs built for speed and endurance in desert conditions of the Sahel region",,,Hound,"Ancient sighthound breed developed by nomadic Tuareg peoples of the Sahel region for hunting gazelle and other game, protecting livestock, and serving as companions. Bred for speed and stamina in Saharan and Sahelian conditions",kDnvvUI63Z,"{'imperial': 'Male: 44-55; Female: 33-44', 'metric': 'Male: 20-25; Female: 15-20'}","{'imperial': 'Male: 25-29; Female: 23.5-27.5', 'metric': 'Male: 63-74; Female: 60-70'}","{'id': 'kDnvvUI63Z', 'url': 'https://cdn4.thedogapi.com/optimized/kDnvvUI63Z.jpg', 'width': 1024, 'height': 1024}",Male: 20-25; Female: 15-20,15.0,25.0,20.0,Male: 63-74; Female: 60-70,60.0,74.0,66.75,12.0,15.0,13.5,medium,"['Independent', 'loyal', 'alert', 'protective', 'affectionate', 'aloof']"
26,Barbet,2,12-14,"Friendly, intelligent, loyal, playful, athletic, devoted",France,FR,FR,"Medium-sized French water dog with distinctive long, dense, curly coat and webbed feet, bred for waterfowl retrieval. Known for its rustic, athletic build and joyful, intelligent disposition.",,,Sporting,"Ancient French water dog dating to 16th century, used for centuries to locate, flush and retrieve waterfowl in marshes and rivers. The breed's name derives from 'barbe' meaning beard. Nearly extinct after WWI but revived through dedicated breeding programs. Considered ancestor to several modern breeds including the Poodle and Briard. Officially recognized by the AKC in 2020.",xFJkKsMcEB,"{'imperial': '37-62', 'metric': '17-28'}","{'imperial': 'Male: 21-25; Female: 20-24', 'metric': 'Male: 53-65; Female: 51-61'}","{'id': 'xFJkKsMcEB', 'url': 'https://cdn4.thedogapi.com/optimized/xFJkKsMcEB.jpg', 'width': 1184, 'height': 896}",17-28,17.0,28.0,22.5,Male: 53-65; Female: 51-61,51.0,65.0,57.5,12.0,14.0,13.0,medium,"['Friendly', 'intelligent', 'loyal', 'playful', 'athletic', 'devoted']"
28,Basenji,2,,"Independent, intelligent, alert, energetic, curious, affectionate",Central Africa,CD,CD,"Small, elegant sighthound from Central Africa with a tightly curled tail, wrinkled forehead, and smooth coat. Known as the 'barkless dog' for its unique yodel-like vocalizations instead of traditional barking.",,,Hound,"Ancient breed originating in Central Africa, depicted in Egyptian and Babylonian art. Prized by Pygmy tribes and Congo region tribes as versatile hunters for their speed and silence. Brought to England in the 1930s and established in the West.",1mYNTc1R6H,"{'imperial': 'Male: 22-26; Female: 20-24', 'metric': 'Male: 10-12; Female: 9-11'}","{'imperial': 'Male: 16-17.5; Female: 15-16.5', 'metric': 'Male: 41-44.5; Female: 38-42'}","{'id': '1mYNTc1R6H', 'url': 'https://cdn4.thedogapi.com/optimized/1mYNTc1R6H.jpg', 'width': 1072, 'height': 992}",Male: 10-12; Female: 9-11,9.0,12.0,10.5,Male: 41-44.5; Female: 38-42,38.0,44.5,41.375,,,,small,"['Independent', 'intelligent', 'alert', 'energetic', 'curious', 'affectionate']"
29,Basset Bleu de Gascogne,2,10-14,"Gentle, friendly, alert, loyal, independent","Gascony, France",FR,FR,"Medium-sized, low-slung French scent hound with distinctive blue-mottled coat, long drooping ears, and exceptional tracking abilities. Known for its noble expression and remarkable sense of smell.",,,Hound,Descended from the larger Grand Bleu de Gascogne developed in medieval Gascony region for hunting small game. Nearly extinct but revived in early 20th century by breeder Alain Bourbon,GSQ3DHebVe,"{'imperial': '35-40', 'metric': '16-18'}","{'imperial': '13-15', 'metric': '33-38'}","{'id': 'GSQ3DHebVe', 'url': 'https://storage.googleapis.com/dog-api-uploads-prod/originals/5a548ad4-ef27-48b4-a8a5-8b9aa2f0a2d0.jpeg', 'width': 1328, 'height': 800}",16-18,16.0,18.0,17.0,33-38,33.0,38.0,35.5,10.0,14.0,12.0,medium,"['Gentle', 'friendly', 'alert', 'loyal', 'independent']"
